danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_uri,name,mode_major,mode_minor
0.625,0.707,2,-4.761,0.0337,0.22,0.0,0.213,0.479,138.064,4,0Ev562zA4pmUsBqjxsxxdx,Feel Good (feat. Daya),1,0
0.643,0.594,2,-5.453,0.0318,0.0128,0.0,0.118,0.442,144.033,4,6pooRNiLyYpxZeIA5kJ5EX,Good Things Fall Apart (with Jon Bellion),1,0
0.527,0.538,5,-7.434,0.104,0.468,0.0,0.0825,0.389,117.319,4,4a5zacCsHLtMC2mcxkqWwn,Sad Forever,1,0
0.425,0.262,0,-8.813,0.028,0.000586,0.000163,0.102,0.0943,140.074,3,5ljQRsrBNTwiVCuGvpBicg,Meet Me in London,1,0
0.796,0.586,4,-6.946,0.147,0.0247,0.0,0.132,0.179,97.981,4,7DcvwMAiqKJQD1rrdfxSDx,The London (feat. J. Cole & Travis Scott),0,1
0.433,0.478,2,-6.641,0.0725,0.191,0.0,0.32,0.173,179.98,4,4ulrQQu8H7ZsW9PVqjYSza,Your Shirt,1,0
0.614,0.234,1,-10.111,0.0512,0.969,0.00115,0.109,0.326,149.581,4,1ZbAH4omZZb5KxVnHRQkAe,Giving Up Ground (feat. Quinn XCII),0,1
0.579,0.681,0,-6.381,0.073,0.478,2.67e-05,0.306,0.555,97.716,4,2ASZlR1pJ2q5UvrmgdgEgJ,You Make Me,1,0
0.526,0.412,9,-9.722,0.0449,0.146,0.0,0.105,0.265,165.87,4,3m9eTtBtU0xxJndQRz9MOr,Out of Focus,1,0
0.642,0.52,9,-7.886,0.0387,0.118,0.000512,0.552,0.488,136.014,4,5CalS8Gn69OOrR9aiw0ZO9,Honeybee,1,0
0.586,0.54,0,-5.761,0.0255,0.192,0.0,0.127,0.162,82.156,4,5tlu2nA8GxkDx8UTKG1rLV,People Need A Melody,1,0
0.585,0.619,0,-7.04,0.0288,0.0945,0.0,0.079,0.326,86.166,4,2XBAkFYQyVNnwhGQVNxQKZ,See You Through My Eyes,1,0
0.466,0.127,2,-15.047,0.042,0.889,0.00325,0.326,0.146,168.521,3,2MvpHgDzl7skp1xowjCDiG,sometimes,1,0
0.718,0.166,6,-15.82,0.0344,0.887,0.0216,0.131,0.237,97.947,4,0TzeZppPwhEhySYaNRulr9,please,0,1
